"id","LDR1","LDR2","button"
"4617","705","1023","279"
"4618","707","1023","278"
"4619","710","1023","278"
"4620","853","1023","383"
"4621","853","1023","383"
"4622","853","1023","383"
"4623","853","1023","383"
"4624","854","1023","383"
"4625","854","1023","383"
"4626","854","1023","383"
"4627","854","1023","383"
"4628","855","1023","382"
"4629","689","1023","278"
"4630","655","1023","278"
"4631","595","1023","278"
"4632","590","1023","278"
"4633","589","1023","278"
"4634","590","1023","279"
"4635","591","1023","278"
"4636","592","1023","278"
"4637","593","1023","279"
"4638","593","1023","278"
"4639","595","1023","278"
"4640","595","1023","278"
"4641","595","1023","278"
"4642","596","1023","278"
"4643","596","1023","279"
"4644","595","1023","279"
"4645","593","1023","279"
"4646","593","1023","278"
"4647","593","1023","279"
"4648","593","1023","279"
"4649","594","1023","278"
"4650","593","1023","278"
"4651","593","1023","279"
"4652","594","1023","279"
"4653","594","1023","278"
"4654","594","1023","279"
"4655","595","1023","279"
"4656","586","1023","278"
"4657","582","1023","281"
"4658","583","1023","279"
"4659","586","1023","279"
"4660","586","1023","279"
"4661","588","1023","279"
"4662","601","1023","278"
"4663","667","1023","279"
"4664","690","1023","279"
"4665","692","1023","281"
"4666","692","1023","279"
"4667","694","1023","279"
"4668","852","1023","383"
"4669","852","1023","383"
"4670","852","1023","383"
"4671","852","1023","383"
"4672","851","1023","383"
"4673","698","1023","278"
"4674","676","1023","278"
"4675","578","1023","279"
"4676","612","1023","279"
"4677","613","1023","278"
"4678","640","1023","279"
"4679","641","1023","279"
"4680","648","1023","279"
"4681","845","1023","383"
"4682","844","1023","383"
"4683","844","1023","383"
"4684","844","1023","383"
"4685","844","1023","383"
"4686","845","1023","383"
"4687","845","1023","383"
"4688","845","1023","383"
"4689","658","1023","278"
"4690","655","1023","278"
"4691","640","1023","278"
"4692","614","1023","278"
"4693","506","1023","278"
"4694","590","1023","279"
"4695","580","1023","278"
"4696","568","1023","278"
"4697","575","1023","278"
"4698","574","1023","278"
"4699","570","1023","278"
"4700","567","1023","279"
"4701","574","1023","278"
"4702","547","1023","279"
"4703","579","1023","279"
"4704","580","1023","278"
"4705","578","1023","278"
"4706","573","1023","279"
"4707","573","1023","279"
"4708","574","1023","279"
"4709","574","1023","279"
"4710","607","1023","279"
"4711","575","1023","278"
"4712","521","1023","279"
"4713","484","1023","279"
"4714","413","1023","278"
"4715","531","1023","279"
"4716","425","1023","279"
"4717","406","1023","278"
"4718","402","1023","278"
"4719","386","1023","278"
"4720","374","1023","279"
"4721","372","1023","279"
"4722","372","1023","278"
"4723","370","1023","278"
"4724","371","1023","278"
"4725","372","1023","279"
"4726","369","1023","278"
"4727","371","1023","279"
"4728","370","64","155"
"4729","368","64","154"
"4730","370","73","159"
"4731","367","72","168"
"4732","370","66","165"
"4733","369","58","167"
"4734","365","54","159"
"4735","373","58","166"
"4736","367","58","162"
"4737","379","62","168"
"4738","413","89","176"
"4739","517","102","172"
"4740","549","115","191"
"4741","569","125","191"
"4742","570","125","176"
"4743","579","135","192"
"4744","584","139","176"
"4745","583","139","172"
"4746","582","139","160"
"4747","837","152","383"
"4748","837","161","383"
"4749","838","159","383"
"4750","839","177","383"
"4751","840","184","383"
"4752","841","190","382"
"4753","841","192","382"
"4754","842","194","382"
"4755","841","191","382"
"4756","640","191","220"
"4757","638","190","219"
"4758","640","190","220"
"4759","642","192","221"
"4760","643","193","220"
"4761","644","194","220"
"4762","647","194","221"
"4763","649","194","213"
"4764","650","194","206"
"4765","652","194","223"
"4766","652","194","218"
"4767","652","193","221"
"4768","651","194","222"
"4769","650","194","220"
"4770","649","194","222"
"4771","649","194","223"
"4772","647","193","205"
"4773","642","191","215"
"4774","643","191","204"
"4775","843","192","383"
"4776","843","193","383"
"4777","580","137","190"
"4778","580","137","192"
"4779","580","137","204"
"4780","581","138","205"
"4781","580","137","206"
"4782","580","136","199"
"4783","579","136","206"
"4784","580","137","204"
"4785","580","137","204"
"4786","580","137","204"
"4787","579","137","187"
"4788","579","136","206"
"4789","579","136","194"
"4790","579","136","207"
"4791","579","136","207"
"4792","580","137","205"
"4793","579","136","204"
"4794","579","136","201"
"4795","580","137","194"
"4796","580","137","192"
"4797","579","136","200"
"4798","579","136","203"
"4799","579","136","196"
"4800","579","136","192"
"4801","580","136","205"
"4802","580","137","192"
"4803","579","136","205"
"4804","579","136","197"
"4805","580","136","197"
"4806","580","137","193"
"4807","579","136","198"
"4808","579","136","203"
"4809","579","136","198"
"4810","579","136","197"
"4811","579","136","202"
"4812","579","136","204"
"4813","579","136","203"
"4814","579","136","205"
"4815","579","136","193"
"4816","579","136","205"
"4817","579","137","204"
"4818","579","136","194"
"4819","579","136","201"
"4820","579","136","203"
"4821","580","136","202"
"4822","580","136","201"
"4823","579","136","198"
"4824","580","137","194"
"4825","579","136","200"
